Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"The Long Way to a Small, Angry Planet",Becky Chambers,,9781473619814,ebook,read,2022-01-03,2022/01/19,2022/01/04-2022/01/19,1,"adventurous, hopeful, lighthearted",medium,Character,Yes,Yes,Yes,No,4.5,,,,,Yes
A Closed and Common Orbit,Becky Chambers,,9781473621435,ebook,read,2022-02-10,2022/02/24,2022/02/14-2022/02/24,1,"emotional, hopeful, reflective",medium,Character,Yes,Yes,Yes,No,5.0,,,,,Yes
The Fifth Season,N. K. Jemisin,,9780356508191,audiobook,read,2022-03-01,2022/03/22,2022/03/06-2022/03/22,1,"dark, mysterious, tense",medium,Plot,Yes,No,Yes,Yes,5.0,,"moderate: violence",,,Yes
The Obelisk Gate,N. K. Jemisin,,9780356508405,audiobook,read,2022-04-05,2022/04/26,2022/04/10-2022/04/26,1,"dark, tense, emotional",slow,Plot,Yes,No,Yes,Yes,4.5,,,,,No
The Colour of Magic,Terry Pratchett,Nigel Planer (Narrator),9780552166591,audiobook,read,2022-05-02,2022/05/11,2022/05/05-2022/05/11,1,"funny, adventurous, lighthearted",fast,Plot,No,Yes,No,No,3.5,,,,humour,No
Piranesi,Susanna Clarke,Chris Hoult (Narrator),9781526622426,audiobook,read,2022-06-12,2022/06/20,2022/06/14-2022/06/20,1,"reflective, mysterious, atmospheric",medium,Character,Yes,Yes,No,No,4.5,Quietly extraordinary.,minor: confinement,,favourites,Yes
A Wizard of Earthsea,Ursula K. Le Guin,,9780140304770,physical book,read,2022-08-01,2022/08/09,2022/08/03-2022/08/09,1,"adventurous, reflective, mysterious",medium,Character,Yes,Yes,No,Yes,4.0,,,,,Yes
Project Hail Mary,Andy Weir,,9781529100624,audiobook,read,2022-09-15,2022/09/28,2022/09/18-2022/09/28,1,"adventurous, hopeful, tense",fast,Plot,Yes,Yes,No,No,5.0,,,,,No
The Priory of the Orange Tree,Samantha Shannon,,9781408883358,ebook,read,2022-10-20,2022/11/30,2022/10/25-2022/11/30,1,"adventurous, emotional, tense",slow,Character,Yes,Yes,Yes,Yes,4.0,,,,,Yes
Record of a Spaceborn Few,Becky Chambers,,9781473647602,ebook,read,2023-01-08,2023/01/21,2023/01/10-2023/01/21,1,"reflective, hopeful, emotional",slow,Character,Yes,Yes,Yes,No,4.0,,,,,Yes
The Stone Sky,N. K. Jemisin,,9780356508467,audiobook,read,2023-02-14,2023/03/05,2023/02/18-2023/03/05,1,"dark, emotional, hopeful",medium,Plot,Yes,No,Yes,Yes,4.5,,,,,No
Guards! Guards!,Terry Pratchett,Nigel Planer (Narrator),9780552166669,audiobook,read,2023-03-20,2023/03/29,2023/03/24-2023/03/29,1,"funny, adventurous, lighthearted",fast,Character,Yes,Yes,No,Yes,4.5,,,,humour,No
The Tombs of Atuan,Ursula K. Le Guin,,9780140303322,physical book,read,2023-04-10,2023/04/18,2023/04/12-2023/04/18,1,"mysterious, reflective, tense",medium,Character,Yes,Yes,No,No,4.5,,,,,Yes
Klara and the Sun,Kazuo Ishiguro,,9780571364879,ebook,read,2023-05-22,2023/06/04,2023/05/26-2023/06/04,1,"emotional, reflective, sad",slow,Character,Yes,Yes,No,No,4.0,,,,,No
Mort,Terry Pratchett,Nigel Planer (Narrator),9780552166614,audiobook,read,2023-07-01,2023/07/08,2023/07/03-2023/07/08,1,"funny, adventurous, lighthearted",fast,Character,Yes,Yes,No,No,4.0,,,,humour,No
The Hobbit,J. R. R. Tolkien,Andy Serkis (Narrator),9780261103283,audiobook,read,2023-09-02,2023/09/16,2023/09/05-2023/09/16,1,"adventurous, lighthearted, hopeful",medium,Plot,No,Yes,No,No,4.5,,,,,Yes
Babel,R. F. Kuang,,9780008501815,physical book,read,2023-10-10,2023/11/02,2023/10/15-2023/11/02,1,"dark, emotional, tense",medium,Character,Yes,Yes,Yes,Yes,5.0,,"moderate: violence, racism",,,Yes
A Psalm for the Wild-Built,Becky Chambers,,9781250236210,ebook,read,2024-01-05,2024/01/12,2024/01/07-2024/01/12,1,"hopeful, reflective, lighthearted",medium,Character,Yes,Yes,Yes,No,4.5,,,,,Yes
The Left Hand of Darkness,Ursula K. Le Guin,,9780441478125,physical book,read,2024-02-08,2024/02/22,2024/02/12-2024/02/22,1,"reflective, mysterious, emotional",slow,Character,Yes,No,Yes,Yes,4.5,,,,,Yes
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,,9781784744977,audiobook,read,2024-03-15,2024/03/30,2024/03/19-2024/03/30,1,"emotional, reflective, hopeful",medium,Character,Yes,Yes,Yes,Yes,4.0,,,,,No
Sea of Tranquility,Emily St. John Mandel,,9781529083507,ebook,read,2024-05-01,2024/05/10,2024/05/03-2024/05/10,1,"reflective, mysterious, hopeful",fast,Character,Yes,Yes,No,No,4.5,,,,,No
Children of Time,Adrian Tchaikovsky,,9781447273301,audiobook,read,2024-06-12,2024/07/01,2024/06/16-2024/07/01,1,"adventurous, tense, mysterious",medium,Plot,Yes,No,Yes,No,4.0,,,,,Yes
